True	csv	java	kml	log	ppt	pptx	sql	troff	txt	unk
csv	73	0	3	3	0	0	1	6	18	4
java	1	73	0	7	0	0	2	4	10	11
kml	0	1	87	7	0	0	0	0	3	1
log	1	6	12	53	0	0	2	10	10	6
ppt	0	0	0	0	53	42	2	2	2	3
pptx	1	0	1	0	26	64	0	0	0	2
sql	1	8	0	10	0	0	47	19	2	12
troff	7	1	0	10	0	0	0	50	16	12
txt	3	2	0	5	0	0	1	18	44	27
unk	0	6	0	11	10	4	4	14	13	30
