True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	78	1	0	0	0	4	3	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	2	0	1	6	0	0	0
dbase3	0	86	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	3	2	0	0	0	0
doc	0	0	33	3	1	0	0	0	0	2	0	3	1	2	1	0	0	1	0	0	1	6	0	1	1	0	0	0	2	1	2	7	12	15	0
docx	0	0	1	37	4	0	0	0	4	1	0	0	0	7	0	6	0	5	3	0	0	22	0	0	0	1	0	0	0	0	0	0	3	2	0
dwf	0	0	0	20	8	0	0	0	3	5	0	0	0	13	0	7	0	2	6	2	0	26	0	0	0	4	0	0	0	0	0	0	1	0	0
eps	0	0	0	0	0	55	0	1	1	0	1	4	2	0	1	0	4	1	0	0	0	0	13	4	1	0	0	0	0	0	2	1	3	0	0
f	0	1	0	0	0	0	20	7	0	0	4	4	21	0	0	0	2	0	0	0	0	0	2	4	4	0	3	2	3	2	6	13	1	0	2
fits	0	0	2	1	1	0	0	66	1	4	1	0	2	0	0	0	0	0	1	2	0	5	0	0	0	1	1	1	0	0	1	2	2	5	0
gif	0	0	0	17	9	0	0	2	34	2	0	0	0	4	0	1	0	5	7	2	0	17	0	0	0	3	0	0	0	0	0	0	2	0	0
gz	0	0	0	19	4	0	0	0	4	9	0	0	0	14	0	9	0	7	4	0	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	6	6	0	0	74	0	8	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	0	7	1	3	0	1
html	0	1	0	0	0	0	0	1	0	0	0	19	7	0	7	0	8	1	0	0	0	0	1	1	2	0	6	0	1	1	2	5	6	0	24
java	0	0	0	0	0	0	0	0	0	0	3	4	88	0	2	0	0	0	0	0	0	0	1	0	2	0	2	0	0	0	1	1	0	0	5
jpg	0	0	2	26	3	0	0	0	1	8	0	0	0	13	0	10	0	5	3	2	0	23	0	0	0	0	0	0	0	0	0	0	1	0	0
kml	0	0	0	0	0	1	0	0	0	0	0	2	1	0	81	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	14
kmz	0	0	0	36	5	0	0	0	0	2	0	0	0	13	0	18	0	3	3	1	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0
log	0	0	0	0	0	1	5	1	0	0	0	5	8	0	2	0	40	0	0	0	0	0	2	1	3	0	5	0	3	0	1	2	0	0	13
pdf	0	0	0	15	3	0	0	3	7	2	0	0	0	9	3	2	2	22	2	0	0	21	1	0	0	2	0	0	0	0	0	0	0	0	3
png	0	0	0	26	6	0	0	0	5	4	0	0	0	10	0	11	0	2	10	0	1	28	0	0	0	1	0	0	0	0	0	0	0	2	0
pps	0	0	9	25	3	1	0	2	2	5	0	0	0	8	0	3	0	7	4	5	1	14	0	0	0	2	0	0	0	0	0	1	5	6	0
ppt	0	0	10	16	0	0	0	1	1	3	0	0	0	7	0	8	0	5	2	8	2	13	0	1	0	2	0	1	0	0	0	5	5	6	0
pptx	0	0	0	32	3	0	0	0	3	2	0	0	0	7	0	11	0	1	6	0	0	28	0	0	0	5	0	0	0	0	0	0	2	0	0
ps	0	0	0	0	0	31	0	1	0	1	0	2	1	0	0	1	2	1	0	0	0	0	45	9	1	0	1	0	2	1	0	0	0	0	2
rtf	0	0	0	0	0	4	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	93	0	0	2	0	0	0	0	3	1	0	2
sql	0	0	0	0	0	0	2	1	0	0	10	4	19	0	0	0	4	2	0	0	0	1	0	0	38	0	2	0	1	1	0	3	1	5	4
swf	0	0	1	22	2	0	0	2	2	2	0	0	0	11	0	2	0	4	3	0	0	23	0	0	0	13	0	0	0	0	0	0	2	0	0
tex	1	0	0	0	0	0	2	0	0	0	2	2	14	0	2	0	6	0	0	0	0	0	0	4	4	0	46	1	3	0	3	2	6	0	11
text	0	1	4	5	0	4	1	2	0	2	3	2	3	2	1	0	1	1	2	4	0	4	2	2	4	4	1	2	2	3	6	7	16	9	1
tmp	0	0	0	0	0	0	3	0	0	0	2	4	6	0	2	0	24	2	0	0	0	0	0	2	6	0	4	0	38	0	1	1	0	0	10
troff	3	0	0	0	0	1	9	0	0	0	2	5	9	0	0	0	3	2	0	0	0	0	4	0	12	0	1	0	2	33	4	8	2	0	4
txt	2	0	0	0	0	3	5	5	0	0	11	4	8	0	0	0	2	0	0	0	0	0	0	2	5	0	1	3	6	4	22	7	9	0	2
unk	0	1	4	1	0	2	5	12	2	0	4	6	11	2	0	0	1	3	0	3	0	1	0	4	2	1	3	0	0	0	3	19	6	2	3
wp	0	0	2	2	0	0	1	0	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	1	5	67	3	2
xls	0	0	7	1	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	5	1	0	0	1	1	4	0	1	0	0	1	1	6	68	0
xml	0	0	0	0	0	0	1	0	0	0	0	7	10	0	13	0	1	0	0	0	0	0	0	3	0	0	5	0	0	0	1	1	0	0	54
