True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	hlp	html	java	jpg	kmz	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	troff	unk	wp	xls
csv	60	0	0	0	0	5	2	0	0	0	6	0	0	0	0	0	0	0	11	0	3	0	3	0	9	0	0	0
dbase3	0	100	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	2	0	49	3	0	0	0	1	0	0	0	0	1	0	1	0	6	0	0	1	0	0	0	0	1	0	1	29
docx	0	0	0	92	1	0	0	0	0	0	0	0	0	1	0	3	1	5	0	0	0	0	0	0	0	0	1	0
dwf	0	0	0	0	75	0	0	0	1	0	0	0	1	5	2	9	2	1	0	0	0	5	0	0	0	1	0	0
eps	0	0	0	0	0	84	1	1	0	0	1	0	0	0	0	0	0	0	12	1	0	0	0	2	0	0	0	0
f	6	0	0	0	0	2	29	2	0	0	4	3	0	0	0	0	0	0	4	0	7	0	1	7	25	9	0	0
fits	0	0	0	0	3	0	3	71	2	0	0	0	2	0	2	1	0	1	3	0	0	2	0	3	0	3	0	3
gif	0	0	2	1	0	0	0	1	73	0	0	0	5	0	1	1	2	2	0	0	0	5	0	4	0	0	0	0
hlp	1	0	1	0	0	0	12	0	0	62	0	1	0	0	0	0	0	0	1	1	5	0	1	3	5	4	0	0
html	3	0	1	0	0	10	4	1	0	0	65	2	0	0	0	0	0	0	5	0	4	0	0	0	4	3	0	0
java	0	0	0	0	0	1	10	0	0	2	5	55	0	0	0	0	0	0	2	3	2	0	3	2	7	5	0	0
jpg	0	0	1	0	3	0	1	1	1	0	2	0	65	0	2	6	2	5	0	0	0	3	0	0	0	0	7	0
kmz	0	0	0	0	13	0	0	1	2	0	0	0	0	53	2	22	3	7	0	0	0	0	0	0	0	0	0	0
png	0	0	0	0	3	0	0	1	9	0	0	0	4	3	43	14	2	3	0	0	0	7	0	0	0	0	4	0
pps	0	0	6	2	5	0	0	0	6	0	0	0	1	4	0	30	11	15	0	0	0	4	0	1	0	0	5	13
ppt	0	0	16	3	0	0	0	0	6	0	0	0	4	2	0	29	14	5	0	1	0	7	0	0	0	0	5	9
pptx	0	0	1	11	1	0	0	0	2	0	0	0	3	3	2	36	7	20	0	0	0	10	0	0	0	0	4	0
ps	1	0	0	0	0	21	3	1	0	0	4	2	0	0	0	0	0	0	67	2	1	0	0	2	0	0	0	0
rtf	2	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	6	83	1	0	4	0	0	1	0	0
sql	13	0	2	0	0	5	11	0	0	1	1	3	0	0	0	0	0	0	1	0	42	2	0	1	3	11	0	0
swf	0	0	1	0	6	2	0	0	3	0	0	0	4	1	8	23	2	17	0	0	0	36	0	0	0	0	3	0
tex	5	0	0	0	0	2	5	0	0	0	3	0	0	0	0	0	0	0	3	0	6	0	65	1	5	1	0	0
text	1	0	22	0	0	3	5	7	1	0	0	1	2	0	0	2	3	2	2	0	6	2	0	23	5	3	5	9
troff	4	0	1	0	0	3	8	1	0	4	3	4	0	0	0	0	0	0	2	0	5	0	0	5	57	2	0	0
unk	2	0	4	0	0	3	8	8	0	2	3	7	0	0	3	2	0	1	5	1	1	0	0	6	8	30	3	3
wp	0	0	7	0	0	0	5	2	2	2	2	0	2	0	5	0	0	0	1	0	0	3	1	0	0	2	63	1
xls	0	0	13	0	1	0	0	1	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	0	0	0	4	76
