True	csv	html	jpg	log	pdf	ppt	rtf	swf	txt	unk	xls
csv	83	3	0	7	0	0	1	0	4	2	0
html	0	54	0	9	3	0	4	0	5	25	0
jpg	0	0	23	0	26	14	0	35	1	0	1
log	2	10	0	65	7	0	1	0	3	11	1
pdf	2	0	17	1	59	6	0	13	0	2	0
ppt	0	0	13	0	25	23	0	22	0	1	16
rtf	0	1	0	2	3	0	83	0	3	8	0
swf	0	0	21	0	23	8	0	45	0	0	3
txt	4	6	0	12	2	0	0	0	36	36	4
unk	3	7	1	4	2	9	3	1	19	42	9
xls	1	1	0	0	1	2	0	1	3	2	89
