True	doc	docx	f	gif	html	jpg	kmz	log	pdf	pps	pptx	ps	rtf	sql	swf	text	tmp	troff	txt	unk	wp	xls	zip
doc	53	1	1	0	1	2	4	0	0	2	3	0	1	6	2	0	0	0	2	0	15	13	3
docx	6	18	0	4	0	14	15	0	1	3	15	0	0	0	9	0	0	0	0	0	4	0	9
f	1	0	31	0	13	0	0	8	0	0	0	5	1	16	0	1	4	10	5	2	3	0	0
gif	0	3	0	30	0	15	15	0	1	3	4	0	0	0	21	1	0	0	0	0	0	1	8
html	0	0	3	0	63	0	0	9	0	0	0	0	0	2	0	0	18	0	3	4	2	1	0
jpg	1	9	0	3	0	15	25	0	1	1	9	0	0	0	13	0	0	0	0	0	0	1	17
kmz	0	9	0	2	0	14	48	0	0	4	13	0	0	0	3	0	0	0	0	0	0	0	9
log	0	0	8	0	29	0	0	17	2	0	0	9	0	0	0	0	30	1	4	0	0	0	0
pdf	0	2	0	3	1	18	22	10	10	0	7	7	0	0	16	0	2	0	0	0	0	0	4
pps	10	6	0	2	0	13	26	0	0	2	9	1	0	0	11	4	1	0	0	0	2	6	15
pptx	1	8	0	0	0	9	31	0	0	3	22	0	0	0	9	0	0	0	0	0	7	0	9
ps	0	0	1	1	3	0	0	8	0	0	0	69	6	0	0	0	7	1	2	0	0	0	0
rtf	0	0	0	0	3	0	0	0	0	0	0	4	79	3	0	0	1	0	5	1	5	0	0
sql	0	0	8	0	7	0	0	3	0	0	0	0	0	59	0	0	10	5	0	0	0	0	0
swf	1	5	0	5	0	16	16	0	0	2	5	0	0	0	26	0	0	0	0	0	11	4	11
text	5	1	9	1	4	7	5	0	0	3	2	6	1	1	3	5	7	2	14	2	11	1	2
tmp	0	0	2	0	9	0	0	10	0	0	0	2	4	8	0	1	39	2	10	1	1	1	0
troff	0	0	30	0	8	0	0	2	0	0	0	6	0	8	0	1	3	32	2	1	4	0	0
txt	0	0	8	0	19	0	0	4	0	0	0	6	0	6	0	2	9	5	33	5	6	0	0
unk	4	1	10	2	20	2	0	0	4	1	4	1	5	11	0	1	2	4	10	5	10	2	0
wp	11	1	2	0	8	0	1	0	0	0	0	0	1	2	1	0	1	0	5	3	63	3	0
xls	27	0	3	0	0	0	0	0	0	3	0	1	0	1	1	1	0	0	1	0	9	60	0
zip	0	5	0	2	0	17	35	0	0	5	11	0	0	0	7	0	0	0	0	0	0	0	15
