True	csv	dbase3	doc	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	68	0	0	0	0	3	0	0	0	0	4	0	0	0	0	6	0	0	0	0	1	0	2	0	4	4	2	1	0	2	0	0	0
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	33	2	1	0	0	1	2	0	0	0	0	0	0	0	0	0	9	5	0	0	0	0	0	4	0	0	0	2	0	38	0
dwf	0	0	0	78	0	0	1	0	0	0	0	0	0	0	1	0	0	2	6	1	0	0	0	5	0	0	0	0	0	0	0	0	0
eps	2	0	0	0	67	1	0	0	0	0	2	0	0	0	0	4	0	0	0	0	11	1	1	0	0	1	0	1	2	3	0	0	0
f	5	0	0	0	2	23	8	0	0	3	0	2	0	3	0	4	0	0	0	0	1	1	6	0	0	2	2	15	3	21	0	0	0
fits	0	0	0	1	0	1	74	0	0	1	0	0	1	0	0	0	0	2	1	1	0	0	0	2	0	6	0	0	0	4	0	3	0
gif	0	0	2	3	0	0	0	67	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0	9	0	4	4	0	0	0	0	0	0
gz	0	0	0	8	0	0	0	2	49	0	0	0	0	0	3	0	5	4	8	4	0	0	0	12	0	1	0	0	0	0	1	0	0
hlp	0	0	0	0	0	7	0	0	0	72	0	5	0	0	0	2	0	0	0	0	0	0	6	0	0	3	2	2	5	4	2	0	0
html	1	0	0	0	0	3	1	0	0	1	50	0	0	2	0	5	3	0	0	0	2	0	1	0	3	1	5	0	0	5	0	0	15
java	4	0	0	0	0	11	0	0	0	4	2	55	0	0	0	8	0	0	0	0	0	0	1	0	3	0	8	1	0	3	0	0	5
jpg	0	0	1	3	0	0	0	0	4	0	0	0	64	0	0	0	0	3	10	1	0	0	0	14	0	0	0	0	0	0	2	1	0
kml	0	0	0	0	2	0	0	0	0	0	5	1	0	82	0	0	0	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	9
kmz	0	0	0	18	0	0	0	0	14	0	0	0	0	0	50	0	0	4	6	1	0	0	0	4	0	0	0	0	0	0	3	0	0
log	0	0	0	0	3	5	0	0	0	0	1	3	0	6	0	54	1	0	0	0	4	0	0	0	7	0	4	0	3	1	0	0	5
pdf	0	1	0	2	2	0	1	7	8	0	0	0	0	1	2	0	50	3	13	0	3	0	0	11	0	1	0	0	0	0	0	0	0
png	0	0	0	4	0	0	0	4	0	0	0	0	0	0	2	0	0	61	3	2	0	0	0	11	0	0	0	0	0	1	8	4	0
pps	0	0	1	5	0	0	0	0	15	0	0	0	0	0	3	0	0	5	23	15	0	0	0	12	0	4	0	0	0	1	2	15	0
ppt	0	0	11	1	0	0	2	3	3	0	0	0	2	0	1	0	0	5	24	14	0	0	0	11	0	2	0	0	0	0	3	15	0
ps	1	0	0	0	19	0	0	0	0	0	1	1	0	1	0	6	1	0	0	0	46	4	1	0	0	0	5	1	1	2	0	0	0
rtf	1	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	91	0	0	1	0	1	0	1	3	0	0	2
sql	7	0	0	0	3	12	0	0	0	0	0	2	0	0	0	4	0	0	0	0	3	0	42	0	7	9	5	1	1	0	0	0	0
swf	1	0	0	13	1	0	1	3	9	0	0	0	0	0	6	0	0	6	9	3	0	0	0	48	0	2	0	0	0	0	2	0	0
tex	1	0	0	0	0	4	0	0	0	1	2	0	0	0	0	8	0	0	0	0	0	0	2	0	73	1	1	0	2	2	0	0	0
text	1	0	16	0	3	8	6	0	1	2	0	1	2	1	0	0	0	1	0	3	4	2	2	1	0	23	5	2	6	6	1	7	0
tmp	2	0	1	0	0	2	0	0	0	4	0	0	0	2	0	8	3	0	0	0	7	1	4	0	2	8	49	0	0	2	0	0	0
troff	1	0	1	0	0	6	0	0	0	0	0	6	0	1	0	5	1	0	0	0	9	0	2	0	0	0	7	48	3	4	2	0	0
txt	3	0	0	0	2	11	8	0	0	1	0	1	0	1	0	3	0	0	0	0	2	1	1	0	5	7	11	3	25	18	0	0	0
unk	5	0	1	0	0	11	6	0	0	3	1	3	0	1	0	4	1	0	6	1	2	1	4	0	1	2	0	0	7	38	1	5	1
wp	0	0	4	1	0	0	0	1	0	2	0	0	1	0	1	0	0	3	2	0	0	2	3	4	0	2	0	1	1	10	58	1	0
xls	0	0	11	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0	0	0	1	85	0
xml	0	0	0	0	1	0	0	0	0	0	4	2	0	19	0	5	0	0	0	0	1	2	0	0	4	0	0	0	0	0	0	0	71
