True	dbase3	doc	f	gif	hlp	html	java	log	pdf	png	pps	ppt	pptx	rtf	sql	tex	text	troff	txt	unk	wp	xml
dbase3	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	73	0	1	0	2	0	0	0	0	4	16	1	0	2	1	0	0	0	0	3	0
f	0	0	25	0	1	4	6	8	0	0	0	0	0	0	3	2	4	9	26	11	0	1
gif	0	0	0	74	0	0	0	0	10	0	3	3	2	0	0	0	3	0	0	0	1	0
hlp	0	0	5	0	66	0	5	0	0	0	0	0	0	0	1	1	0	4	6	6	5	0
html	0	0	2	0	1	70	1	4	0	0	0	0	0	2	2	2	2	2	0	3	0	6
java	0	0	4	0	1	3	61	8	0	0	0	0	0	1	0	2	0	4	3	5	0	6
log	0	0	1	0	1	1	2	75	0	0	0	0	0	0	1	1	1	4	6	0	0	4
pdf	0	0	0	5	0	1	0	3	64	1	14	3	13	0	0	0	0	0	0	2	0	3
png	0	0	0	2	0	0	0	0	1	70	7	5	15	0	0	0	1	0	0	0	3	0
pps	0	14	0	4	0	0	0	0	3	0	18	17	42	0	0	0	1	0	0	0	3	0
ppt	0	14	0	3	0	0	0	0	1	2	20	18	37	0	0	0	0	0	0	0	5	0
pptx	0	0	0	10	0	0	0	0	1	2	24	3	50	0	2	0	0	0	0	0	3	0
rtf	0	0	2	0	1	1	0	5	0	0	0	3	0	80	0	7	0	1	3	1	0	1
sql	0	0	18	0	4	9	0	6	1	0	0	0	0	0	39	0	3	9	5	8	0	0
tex	0	0	1	0	1	5	5	6	0	0	0	0	0	0	2	68	0	0	2	8	0	4
text	0	19	6	4	3	1	0	1	1	0	3	9	4	0	3	0	16	3	18	0	0	0
troff	0	0	5	0	0	8	3	7	3	0	0	0	0	0	8	1	2	46	11	1	1	7
txt	0	0	16	0	2	4	4	5	1	0	0	0	0	0	4	0	9	7	46	5	1	1
unk	0	2	13	0	2	3	12	2	2	1	1	4	2	2	5	2	3	5	9	33	0	0
wp	0	1	0	1	1	0	1	0	0	3	5	4	5	0	1	1	0	0	3	2	67	0
xml	0	0	2	0	0	17	1	4	0	0	0	0	0	0	1	0	0	0	1	0	0	67
