True	csv	dbase3	doc	docx	dwf	f	fits	gif	gz	hlp	java	jpg	kml	kmz	log	pdf	pps	ppt	pptx	sql	swf	tex	txt	unk	wp	xls	zip
csv	81	0	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	8	9	0	0	0	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0
doc	0	0	50	2	1	0	0	1	2	1	0	0	1	1	2	0	1	2	0	1	1	6	6	0	4	18	2
docx	0	0	2	22	13	0	0	5	15	0	0	15	0	8	0	0	2	1	10	0	2	0	0	0	0	0	6
dwf	0	0	0	4	14	0	0	3	8	0	0	20	0	11	0	1	4	1	7	0	2	0	0	0	0	0	20
f	5	1	0	0	0	28	0	0	0	0	23	0	0	0	7	0	0	0	0	3	0	12	15	6	0	0	0
fits	0	0	0	0	2	6	51	5	1	1	1	1	0	1	0	0	2	0	0	0	1	0	14	0	0	8	1
gif	0	0	0	2	6	0	0	52	12	0	0	8	0	9	0	1	0	2	1	0	3	0	0	0	0	1	5
gz	0	0	0	3	14	0	0	1	25	0	0	16	0	14	0	1	7	0	2	0	1	0	0	0	0	0	15
hlp	0	0	0	0	0	6	0	0	0	66	10	0	0	0	0	0	0	0	0	0	0	7	5	0	0	0	0
java	0	0	0	0	0	5	0	0	0	1	61	0	3	0	1	1	0	0	0	1	0	18	3	0	0	0	0
jpg	0	0	2	7	19	0	0	3	18	0	0	15	0	8	0	2	5	1	6	0	6	0	0	0	0	0	10
kml	2	0	0	0	0	1	0	0	0	0	0	0	85	0	0	1	0	0	0	0	0	7	8	0	0	0	0
kmz	0	0	0	12	7	0	0	4	18	0	0	16	0	22	0	0	8	0	5	0	3	0	0	0	1	1	5
log	4	1	0	0	0	8	1	0	0	0	5	0	13	0	32	1	0	0	0	2	0	22	8	1	1	0	0
pdf	1	0	0	2	12	0	0	10	8	0	0	11	7	7	0	20	1	0	7	0	5	0	0	3	0	0	6
pps	0	0	6	4	10	0	0	4	18	0	0	11	0	9	0	2	3	11	7	0	2	0	0	0	4	4	7
ppt	0	1	8	3	12	0	0	1	10	0	0	8	0	6	0	1	6	16	5	0	2	0	0	1	3	8	9
pptx	0	0	2	11	10	0	0	8	13	0	0	11	0	15	0	1	4	1	10	0	3	0	0	0	2	0	7
sql	3	1	0	0	0	17	0	0	0	4	9	0	1	0	2	1	0	0	0	43	0	14	2	3	0	0	0
swf	0	0	3	3	10	0	0	9	9	0	0	11	0	12	0	0	3	4	11	0	13	1	0	0	4	1	11
tex	1	0	0	0	0	4	0	0	0	2	4	0	7	0	3	1	0	0	0	0	0	66	9	1	0	0	0
txt	3	4	0	0	0	13	3	0	0	1	5	0	0	0	7	1	0	0	0	3	0	16	38	4	0	0	0
unk	3	0	1	0	1	10	1	0	0	1	15	1	0	0	1	6	1	1	1	1	0	27	11	12	1	8	0
wp	0	0	7	1	2	2	0	1	0	0	2	0	0	1	0	0	0	2	0	1	3	16	7	3	51	4	0
xls	0	0	5	1	0	1	1	0	0	0	0	0	0	0	0	0	0	4	0	1	3	1	2	3	3	77	0
zip	0	0	0	6	18	0	0	0	13	0	0	16	0	15	0	1	4	0	6	0	1	0	0	0	0	0	20
