True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	70	0	0	0	0	0	3	0	0	0	1	1	0	0	1	0	5	0	0	0	0	0	2	0	2	0	6	2	5	0	1	0	0	0	0
dbase3	0	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	45	2	0	0	1	1	0	0	0	0	1	1	0	0	2	0	0	1	1	4	0	0	1	1	0	0	0	0	0	0	3	35	0
docx	0	0	1	67	0	0	0	0	2	8	0	0	0	1	0	4	0	0	0	3	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	76	0	0	0	1	4	0	0	0	4	0	2	0	0	1	2	1	4	0	0	0	6	0	0	0	0	0	0	0	0	0
eps	2	0	0	0	0	58	2	1	0	0	0	2	0	0	0	0	7	2	0	0	0	0	9	1	1	0	3	6	2	0	6	0	0	0	1
f	8	0	0	0	0	2	31	1	0	0	5	6	3	0	0	0	2	0	0	0	0	0	2	1	4	0	1	3	1	8	11	8	2	0	0
fits	0	0	1	0	1	0	2	69	2	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	3	0	4	3	0	0	6	0	1	0
gif	0	0	0	2	2	0	0	3	64	1	0	0	0	8	0	0	0	1	5	0	1	1	0	0	0	8	0	2	0	0	0	0	1	1	0
gz	0	0	0	0	1	0	0	1	0	62	0	0	0	1	0	8	0	0	1	5	1	11	0	0	0	5	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	6	0	0	0	65	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	10	9	0	0	0
html	1	0	0	0	0	1	2	0	0	0	0	54	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	7	2	1	3	0	0	21
java	0	0	0	0	0	1	5	0	0	0	2	0	74	0	2	0	6	0	0	0	0	0	1	0	3	0	0	1	2	1	0	0	0	0	3
jpg	0	0	0	0	2	0	0	0	2	7	0	0	0	68	0	1	0	1	4	3	2	5	0	0	0	3	0	1	0	0	0	0	2	0	0
kml	0	0	0	0	0	1	0	0	0	0	0	4	0	0	71	0	5	0	0	0	0	0	0	0	0	0	4	0	1	0	4	0	0	0	14
kmz	0	0	0	0	6	0	0	0	0	13	0	0	0	0	0	67	0	0	5	2	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0
log	2	0	2	0	0	0	1	1	0	0	0	2	5	0	2	0	52	2	0	0	0	0	3	3	0	0	3	2	9	2	3	1	0	0	5
pdf	0	0	0	0	2	0	0	0	5	11	0	0	0	2	1	2	0	48	4	2	1	9	8	1	0	2	1	3	0	0	0	0	0	0	1
png	0	0	0	0	2	0	0	0	6	8	0	0	0	4	0	3	0	1	52	0	1	18	0	0	0	4	0	2	0	0	0	0	3	0	0
pps	0	1	8	0	3	0	0	1	6	22	0	0	0	3	0	7	0	4	3	6	0	19	0	0	0	8	0	2	0	0	0	0	5	3	0
ppt	0	0	14	0	0	0	0	1	1	13	0	0	0	4	0	1	0	1	4	4	5	15	0	0	0	7	0	2	0	0	0	1	3	17	0
pptx	0	0	3	13	2	0	0	1	5	25	0	0	0	1	0	7	0	1	2	1	1	24	0	1	0	12	0	0	0	0	0	0	0	0	0
ps	0	0	0	0	0	24	4	3	0	0	0	0	1	0	0	0	10	2	0	0	0	0	47	2	0	0	0	5	3	1	4	1	0	0	0
rtf	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	84	0	0	2	0	0	0	1	0	0	1	0
sql	2	0	2	2	0	0	12	0	0	0	3	0	7	0	0	0	5	0	0	0	0	0	1	0	45	0	5	1	6	3	3	3	0	0	0
swf	0	0	1	2	5	1	0	0	6	15	0	0	0	2	0	2	0	1	5	2	0	19	0	0	0	40	0	1	0	0	0	0	1	0	0
tex	0	0	0	0	0	2	2	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	2	5	0	67	0	0	0	3	2	0	0	6
text	0	0	12	0	1	0	9	6	3	4	0	1	1	1	0	0	0	0	0	0	0	3	1	5	0	4	0	17	7	4	6	4	1	6	0
tmp	0	0	0	2	0	0	5	1	6	0	1	0	0	1	0	0	7	0	0	0	0	0	2	2	1	0	0	4	60	0	1	2	0	0	5
troff	3	0	0	0	0	0	3	1	0	0	2	10	2	0	0	0	4	0	0	0	0	0	1	0	1	0	1	7	4	49	7	0	0	0	4
txt	7	0	0	0	0	1	10	3	0	0	7	1	3	0	0	0	5	0	0	0	0	0	2	1	2	0	2	3	10	4	26	16	0	0	0
unk	4	0	7	0	0	1	5	3	4	1	4	2	5	0	0	0	1	2	0	0	0	0	4	0	4	0	1	3	3	1	4	31	0	4	1
wp	0	1	0	0	3	0	0	1	0	0	2	0	0	1	0	1	0	0	7	1	0	0	0	0	2	0	0	0	0	1	1	4	73	1	0
xls	0	0	14	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	3	79	0
xml	2	0	0	0	0	1	1	0	0	0	0	9	0	0	14	0	6	0	0	0	0	0	0	0	1	0	4	0	0	0	1	1	0	0	63
