True	csv	doc	docx	dwf	eps	fits	gif	gz	hlp	html	java	jpg	kmz	log	png	pps	ppt	rtf	swf	tex	tmp	troff	unk	wp	xls	xml
csv	70	0	0	0	0	0	0	0	1	6	1	0	0	2	0	0	0	0	0	5	4	8	10	2	0	1
doc	0	71	0	0	0	2	3	1	0	0	0	1	0	0	0	4	4	1	2	0	0	0	0	5	4	0
docx	0	0	89	0	0	0	0	9	0	0	0	0	0	0	1	2	0	0	3	0	0	0	0	0	0	0
dwf	0	0	1	83	0	1	0	5	0	0	0	1	3	0	0	4	0	0	8	0	0	0	0	0	0	0
eps	0	0	0	1	81	3	0	0	0	3	0	0	0	0	0	0	0	6	1	1	0	1	0	1	0	0
fits	0	0	2	1	0	67	3	4	0	0	0	1	0	0	3	2	0	0	3	0	1	0	4	0	2	0
gif	0	0	5	3	0	3	67	1	0	0	0	0	3	0	3	7	4	0	10	0	0	0	0	0	1	0
gz	0	0	0	2	0	0	0	68	0	0	0	0	2	0	2	13	1	0	8	0	0	0	0	0	0	0
hlp	0	0	0	0	1	0	0	0	67	0	5	0	0	1	0	1	0	0	0	0	3	6	6	8	0	1
html	3	0	0	0	3	0	0	0	0	77	1	0	0	0	0	0	0	0	0	3	0	2	0	2	0	7
java	0	0	0	0	2	0	0	0	2	1	82	0	0	5	0	0	0	0	0	0	2	6	9	0	0	2
jpg	0	0	0	2	0	0	0	2	0	3	0	64	1	0	4	7	3	0	7	0	0	0	0	3	0	0
kmz	0	0	0	16	0	0	2	24	0	0	0	0	35	0	4	7	0	0	2	0	0	0	0	0	0	0
log	1	0	0	0	12	0	0	0	0	4	5	0	0	48	0	3	0	0	0	5	9	7	2	1	0	8
png	0	0	1	6	0	0	4	6	0	0	0	7	2	0	54	11	4	0	8	0	0	0	0	1	0	0
pps	0	18	0	12	0	2	2	22	0	0	0	1	0	0	1	16	9	0	13	0	0	0	1	5	0	0
ppt	0	21	1	2	0	2	2	26	0	0	0	1	0	0	0	24	4	1	16	0	0	0	0	2	3	0
rtf	0	0	0	0	6	0	0	0	1	1	1	0	0	0	0	0	0	86	0	2	0	0	1	1	0	0
swf	0	0	0	10	2	1	1	16	0	0	0	3	0	0	8	22	3	0	29	0	0	0	0	0	3	0
tex	0	0	0	0	0	0	0	0	3	3	1	0	0	1	0	0	0	1	0	76	8	0	6	0	0	6
tmp	0	1	8	0	13	9	0	0	0	8	0	0	0	4	0	0	0	0	0	2	44	1	7	4	1	0
troff	0	0	0	0	3	0	0	0	0	1	1	0	0	2	0	2	0	0	0	3	0	67	6	4	0	0
unk	2	10	0	0	5	6	0	1	1	7	11	0	0	0	2	3	1	0	0	1	4	8	35	3	1	0
wp	0	1	1	6	0	0	1	0	0	0	0	0	0	0	1	2	3	0	0	0	0	0	2	74	2	0
xls	0	68	0	0	0	0	2	0	0	0	0	4	0	0	0	0	3	0	2	0	0	0	1	1	16	0
xml	1	0	0	0	5	0	0	0	0	8	3	0	0	1	0	0	0	0	0	2	0	5	0	0	0	69
