True	csv	dbase3	eps	f	fits	gz	java	tmp	troff	xml	zip
csv	85	3	0	5	0	0	0	2	5	3	0
dbase3	0	99	0	0	0	0	0	0	1	0	0
eps	2	0	79	1	1	1	1	5	2	2	0
f	4	5	1	55	1	0	11	4	14	10	0
fits	1	9	3	2	53	4	1	9	0	1	10
gz	0	0	0	0	1	26	0	0	0	0	76
java	1	0	1	28	1	0	49	5	3	9	0
tmp	7	0	4	9	0	0	1	39	9	28	0
troff	5	0	3	18	0	0	2	2	57	9	0
xml	0	0	1	5	0	0	10	1	1	86	0
zip	0	0	0	0	0	14	0	0	0	0	94
