True	gif	gz	hlp	html	java	pdf	rtf	tex	wp	xml
gif	43	44	0	0	0	10	0	0	0	0
gz	6	90	0	0	0	6	0	0	0	0
hlp	0	0	80	1	13	0	2	0	0	1
html	0	0	8	24	6	1	9	1	0	54
java	0	0	12	2	84	0	1	1	0	2
pdf	7	47	0	2	1	30	1	0	0	9
rtf	0	0	5	0	0	0	92	0	1	3
tex	0	0	22	0	5	0	14	28	0	29
wp	2	0	15	0	1	3	9	1	70	2
xml	0	0	4	13	16	0	4	0	0	63
