True	csv	dbase3	doc	f	gif	gz	html	java	log	pdf	ppt	ps	rtf	swf	txt	unk	xls	xml
csv	79	2	0	4	0	0	1	0	3	0	0	0	0	0	5	5	0	1
dbase3	0	98	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
doc	0	0	30	0	0	1	2	1	0	0	10	0	6	6	7	13	24	0
f	3	1	0	41	0	0	2	6	3	0	0	1	2	0	7	33	0	1
gif	1	0	3	0	21	11	0	0	0	10	18	0	0	36	0	0	0	0
gz	0	0	0	0	2	14	0	0	0	15	40	0	0	29	0	0	0	0
html	2	0	0	2	0	0	42	6	1	3	0	0	6	0	3	12	0	23
java	0	0	1	21	0	0	6	50	1	1	0	0	2	0	0	11	0	7
log	3	0	0	4	0	0	14	3	45	1	0	5	3	0	5	8	0	9
pdf	1	0	0	0	1	8	0	0	0	36	19	2	0	27	0	6	0	0
ppt	0	0	7	0	1	9	0	0	0	13	39	0	0	22	0	0	9	0
ps	6	1	1	1	0	0	1	2	9	3	2	59	7	2	4	2	0	0
rtf	0	1	1	0	0	0	0	0	0	0	0	3	90	0	1	2	0	2
swf	0	0	0	0	2	11	0	0	0	11	20	0	1	50	0	1	4	0
txt	4	2	5	13	0	0	6	2	9	0	0	1	9	0	19	28	0	2
unk	2	0	4	13	0	0	2	5	3	5	7	1	6	1	2	40	6	3
xls	0	0	6	1	0	1	1	0	0	0	4	0	1	1	1	9	75	0
xml	0	0	1	0	0	0	11	3	1	1	0	1	4	0	0	0	0	78
