True	csv	dbase3	doc	dwf	eps	f	gif	gz	hlp	html	java	jpg	kmz	log	pdf	png	pps	ppt	ps	rtf	sql	tex	tmp	troff	txt	unk	wp	xls
csv	73	1	0	0	0	2	0	0	0	3	0	0	0	3	0	0	0	0	0	1	1	2	0	4	12	1	0	0
dbase3	0	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
doc	1	0	48	4	0	1	4	0	0	3	0	2	2	1	0	1	1	11	0	1	1	0	0	1	6	2	5	10
dwf	0	0	0	25	0	0	10	2	0	0	0	19	4	0	0	10	4	23	0	0	0	0	0	0	0	0	0	0
eps	1	0	0	1	64	0	1	1	0	3	1	0	0	3	0	0	1	0	6	3	1	0	1	3	8	1	1	0
f	2	0	1	2	0	47	0	0	1	2	3	0	0	8	0	0	0	1	1	0	5	3	0	4	22	5	0	0
gif	0	0	1	14	0	0	47	0	0	0	0	11	2	0	0	4	9	13	0	0	0	0	0	0	0	0	0	0
gz	0	0	0	13	0	0	4	4	0	0	0	17	5	0	0	6	6	35	0	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	17	0	0	56	0	3	0	0	0	0	0	0	0	0	0	7	0	0	1	11	1	1	0
html	1	3	0	0	3	6	0	0	1	47	5	0	0	4	0	0	0	0	2	2	3	5	3	2	12	2	1	0
java	0	0	0	0	1	29	0	0	2	7	46	0	0	3	0	0	0	0	0	0	8	0	0	0	4	2	0	0
jpg	0	0	0	16	0	0	6	9	0	0	0	20	4	0	0	11	1	27	0	0	0	0	0	0	0	0	1	0
kmz	0	0	3	10	0	0	9	5	0	0	0	22	21	0	1	10	2	20	0	0	0	0	0	0	0	0	1	0
log	0	1	0	0	4	3	0	0	1	9	5	0	0	38	0	0	0	0	0	1	5	3	5	1	16	2	0	0
pdf	0	1	1	13	6	0	14	0	0	3	0	19	3	0	20	3	0	17	0	0	0	0	1	0	1	0	2	0
png	0	0	0	18	0	0	12	2	0	0	0	15	8	0	0	17	3	31	0	0	0	0	0	0	0	0	1	0
pps	0	0	2	11	0	0	6	0	0	0	0	16	8	0	0	9	2	31	0	0	1	0	1	0	0	0	2	6
ppt	0	0	10	12	1	0	3	2	0	0	0	11	3	0	0	8	8	25	0	1	0	0	0	0	0	0	5	8
ps	1	0	0	0	50	0	0	0	0	0	0	0	0	4	0	0	0	0	30	4	0	0	3	0	4	0	0	0
rtf	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	4	78	1	1	1	1	6	0	0	0
sql	2	0	1	1	0	14	0	0	3	2	4	0	0	7	0	0	0	0	0	0	64	1	1	3	4	0	0	0
tex	0	0	0	0	0	2	0	0	0	8	3	0	0	3	0	0	0	0	0	6	0	44	2	1	26	0	0	0
tmp	0	0	2	0	3	0	0	0	1	7	0	0	0	27	1	0	0	0	1	1	4	2	17	0	26	1	0	0
troff	3	3	0	0	1	22	0	0	0	1	0	0	0	8	0	0	0	0	0	2	6	3	0	34	15	3	0	0
txt	2	4	0	0	4	12	0	0	1	2	0	0	0	6	0	0	0	0	1	0	5	2	0	4	65	5	0	0
unk	0	2	7	2	1	18	1	0	0	1	4	1	2	1	1	0	0	4	0	2	4	2	0	4	29	5	2	2
wp	0	0	5	0	0	2	3	0	0	2	2	0	0	0	0	0	0	5	0	0	1	0	0	0	17	4	59	7
xls	0	0	34	0	0	2	2	0	0	0	1	1	0	0	0	1	1	2	0	0	0	0	0	2	2	4	6	47
