True	doc	f	html	jpg	log	pptx	ps	rtf	sql	tex	txt
doc	79	3	1	7	1	19	0	2	1	0	0
f	0	53	2	0	6	0	10	0	7	0	17
html	1	3	76	0	6	0	5	0	3	2	2
jpg	0	2	2	71	0	23	0	0	0	0	0
log	0	2	5	0	66	1	11	0	4	6	3
pptx	2	0	0	10	1	89	0	0	0	0	0
ps	1	1	2	0	9	0	71	2	2	2	6
rtf	0	1	0	0	0	0	5	91	1	1	0
sql	0	10	10	0	12	5	2	0	44	2	12
tex	0	1	1	0	6	0	0	1	3	91	5
txt	0	26	1	0	2	0	11	0	6	2	48
