True	csv	dbase3	docx	dwf	f	java	pps	ps	sql	swf	troff	xls	zip
csv	88	0	0	0	0	0	0	0	3	0	7	0	0
dbase3	0	99	0	0	0	0	0	1	0	0	0	0	0
docx	1	0	29	7	0	0	14	0	0	21	0	3	25
dwf	0	0	7	9	0	0	10	0	0	34	0	0	43
f	5	0	0	0	34	29	0	2	17	0	15	0	1
java	0	0	1	0	3	84	0	1	6	0	1	0	0
pps	0	0	7	7	0	0	17	0	0	16	2	18	28
ps	6	0	0	0	2	4	0	85	4	0	3	0	0
sql	7	1	0	0	5	12	0	2	67	0	13	1	0
swf	0	0	7	6	0	0	4	0	0	50	0	4	37
troff	15	1	0	0	6	7	0	7	10	0	50	0	0
xls	0	0	2	0	0	2	2	0	2	1	4	75	2
zip	0	0	3	12	0	0	17	0	0	17	0	0	50
