True	csv	dbase3	doc	dwf	eps	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	ppt	pptx	sql	swf	tex	text	troff	unk	xls
csv	78	0	0	0	0	0	0	0	0	2	4	0	3	0	4	1	0	0	0	2	0	6	1	0	0	0
dbase3	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
doc	0	0	33	0	0	0	0	1	0	0	1	2	0	0	1	0	0	10	0	0	0	0	3	0	0	44
dwf	0	0	0	82	0	0	0	10	0	0	0	4	0	0	0	4	0	0	1	0	2	0	0	0	1	0
eps	0	0	0	0	89	2	0	0	0	0	0	0	0	0	5	1	0	2	0	1	0	0	0	0	0	0
fits	0	0	0	1	0	83	2	0	0	0	0	0	0	0	0	2	1	2	0	0	6	0	2	0	3	0
gif	0	0	0	4	0	1	68	1	0	0	0	0	0	1	0	4	9	2	3	0	3	0	0	0	1	0
gz	0	0	0	5	0	0	0	53	0	0	0	1	0	5	0	8	1	8	15	0	1	0	0	0	0	0
hlp	0	0	0	0	0	2	0	0	74	0	16	0	0	0	2	0	0	0	0	2	0	0	1	0	7	0
html	2	0	0	0	2	2	0	0	2	61	1	0	4	0	11	0	0	0	0	7	0	0	1	0	3	0
java	0	0	0	0	1	0	0	0	9	0	71	0	5	0	8	0	0	0	0	0	0	1	1	0	4	0
jpg	0	0	0	7	0	0	1	5	0	1	0	65	0	2	0	4	3	6	2	0	1	0	1	0	1	0
kml	0	0	0	0	1	0	0	0	0	2	4	0	88	0	6	1	0	0	0	0	0	0	0	0	0	0
kmz	0	0	0	7	0	0	0	16	0	0	0	1	0	64	0	0	3	1	7	0	0	0	2	0	0	0
log	4	0	1	0	2	0	0	0	2	4	4	0	5	0	72	0	0	0	0	0	0	5	1	2	0	0
pdf	1	0	0	3	0	0	1	7	0	0	0	1	4	1	9	57	1	2	7	0	0	0	2	0	1	0
png	0	0	0	6	0	0	5	7	0	0	0	0	0	5	0	2	65	2	5	0	2	0	0	0	2	0
ppt	0	0	12	3	0	0	4	19	0	0	0	3	0	4	0	12	1	18	19	0	0	0	1	0	1	7
pptx	0	0	1	2	0	0	4	17	0	0	0	4	0	3	1	11	2	6	37	2	7	0	2	0	0	0
sql	7	0	0	0	7	0	0	0	7	6	7	0	0	0	9	0	0	0	0	43	0	0	10	0	6	0
swf	0	0	5	10	2	0	0	10	0	0	0	5	0	4	0	8	10	7	9	0	26	0	0	0	0	1
tex	2	0	0	0	0	0	0	0	4	0	3	0	5	0	6	0	0	0	0	2	0	76	2	0	0	0
text	2	0	11	0	5	8	0	3	1	2	3	4	2	0	1	2	1	8	4	4	2	1	21	2	10	5
troff	8	0	0	0	5	2	0	0	8	4	10	0	1	0	8	0	0	0	0	6	0	1	8	30	7	0
unk	1	0	3	0	5	13	1	1	4	0	16	0	0	1	5	0	0	0	0	3	0	1	6	4	33	3
xls	0	0	10	0	0	0	0	0	0	0	1	1	0	0	1	0	0	10	0	1	0	0	2	0	0	76
