True	doc	eps	fits	hlp	html	kml	pdf	png	pps	pptx	ps	sql	swf	troff	txt	unk	xls	xml
doc	44	0	1	1	0	0	0	0	9	4	0	1	4	0	0	0	41	0
eps	0	62	0	0	0	3	5	0	0	0	17	2	0	1	7	0	0	0
fits	0	0	85	0	0	0	2	1	1	1	0	0	4	0	0	4	1	0
hlp	0	0	1	77	0	0	0	0	0	0	0	6	0	6	8	6	0	0
html	0	0	1	3	66	11	1	0	0	0	2	0	0	5	0	1	0	9
kml	0	0	0	0	1	87	0	0	0	0	0	0	0	0	0	2	0	8
pdf	0	1	0	0	0	1	52	4	10	8	3	0	13	0	3	0	0	0
png	4	0	0	0	0	0	0	68	7	9	0	0	11	0	0	0	0	0
pps	10	0	0	0	0	0	0	7	32	23	0	0	18	1	0	1	8	0
pptx	0	0	0	0	0	0	1	5	31	45	0	0	21	0	0	0	0	0
ps	0	22	1	1	0	1	1	0	2	0	62	0	0	3	4	3	0	1
sql	0	3	0	5	0	2	0	0	0	4	2	39	0	11	15	12	0	9
swf	1	2	0	0	0	0	0	6	21	11	0	0	53	0	0	0	0	0
troff	2	0	1	5	3	0	0	0	0	0	1	3	0	62	8	11	0	0
txt	0	1	15	7	3	2	0	0	0	0	2	3	0	10	36	22	0	0
unk	4	2	5	14	0	0	1	0	3	1	7	2	1	4	21	33	2	3
xls	11	0	2	0	0	0	0	0	10	0	0	0	0	0	0	4	76	0
xml	0	4	0	0	3	16	0	0	0	0	0	0	0	2	0	0	0	76
