Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C256_16_16L64D_cat	1133023	25	2m02s	0.376	0.332
C256_16_16L64D_bin	1133023	30	2m01s	0.296	0.332
C256_16_16L64D_mse	1133023	29	2m00s	0.414	0.384
C256_16_16RL64D_cat	1133023	29	2m01s	0.324	0.344
C256_16_16RL64D_bin	1133023	30	2m03s	0.286	0.306
C256_16_16RL64D_mse	1133023	34	2m03s	0.412	0.358
C256_16_16PL64D_cat	1133023	30	2m00s	0.398	0.396
C256_16_16PL64D_bin	1133023	35	2m01s	0.374	0.356
C256_16_16PL64D_mse	1133023	33	2m02s	0.41	0.41
C256_16_16PRL64D_cat	1133023	38	2m01s	0.376	0.324
C256_16_16PRL64D_bin	1133023	33	2m02s	0.37	0.318
C256_16_16PRL64D_mse	1133023	32	2m00s	0.404	0.4
