True	dbase3	dwf	eps	fits	gif	java	kml	tex	unk	wp	xls
dbase3	98	0	0	0	0	0	0	0	0	0	0
dwf	0	98	0	3	3	0	0	0	0	0	0
eps	0	0	72	8	0	0	3	3	4	1	0
fits	1	3	2	75	4	0	0	0	7	2	1
gif	0	3	0	0	80	0	0	0	2	10	0
java	0	0	6	0	0	57	7	1	28	0	0
kml	0	0	1	0	0	0	100	4	0	0	0
tex	0	0	1	0	0	1	3	80	16	0	0
unk	0	1	4	14	3	6	0	4	62	6	7
wp	0	3	0	1	1	1	0	0	13	81	0
xls	0	0	0	17	0	0	0	0	6	7	75
