True	f	gz	java	log	png	pptx	ps	swf	tmp	troff	wp
f	51	0	11	4	0	0	8	0	7	20	2
gz	0	73	0	0	1	17	0	7	0	0	0
java	20	0	79	0	0	0	0	0	1	1	0
log	7	0	3	60	0	2	7	0	8	9	1
png	0	7	0	0	66	8	0	7	0	0	8
pptx	0	27	0	2	0	50	0	23	0	0	1
ps	3	0	2	5	0	0	69	0	12	2	1
swf	0	16	0	0	5	27	0	51	0	0	3
tmp	6	0	1	9	0	2	11	0	60	9	6
troff	17	0	1	0	0	0	5	0	2	71	6
wp	3	0	1	0	0	1	0	4	0	0	91
