True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	81	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	1	1	2	1	0	0	0	0
dbase3	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
doc	0	0	36	2	2	0	0	0	1	2	0	3	0	2	0	2	1	2	0	2	9	2	0	0	2	0	1	0	0	0	2	4	14	11	0	0
docx	0	0	6	29	15	0	0	0	6	8	0	0	0	7	0	2	0	2	6	3	0	6	0	0	0	4	0	0	0	0	0	0	3	0	0	2
dwf	0	0	0	24	20	0	0	0	6	4	0	0	0	8	0	10	0	2	7	3	1	6	0	0	0	0	0	0	0	0	0	0	1	0	0	4
eps	1	1	0	0	0	34	0	0	3	0	0	4	1	0	1	0	1	3	0	0	0	0	38	1	2	0	0	1	3	0	1	0	1	0	2	0
f	3	0	0	2	0	2	16	3	0	0	9	6	18	0	0	0	6	0	0	0	0	0	0	0	9	0	0	0	1	7	6	4	7	0	1	0
fits	0	5	5	5	3	2	0	62	2	1	1	0	0	1	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0	0	1	0	2	0	0	1
gif	0	0	2	10	16	0	0	1	39	7	0	0	0	3	0	1	0	2	7	3	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	3
gz	0	0	0	22	22	0	0	0	4	15	0	0	0	9	0	8	0	3	0	3	0	6	0	0	0	2	0	0	0	0	0	0	0	0	0	6
hlp	0	0	0	0	0	0	3	0	0	0	65	2	5	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	3	6	2	4	0	0	0
html	2	1	0	0	0	0	0	1	0	0	5	57	2	0	9	0	6	2	0	0	0	0	0	0	1	0	1	1	1	3	2	2	4	0	3	0
java	0	0	0	0	0	1	3	0	0	0	5	7	58	0	0	0	3	0	0	0	0	0	0	1	13	0	0	0	0	0	0	5	1	0	0	0
jpg	0	0	0	19	24	0	0	1	6	9	0	0	0	8	1	5	0	2	4	6	0	4	0	0	0	1	0	0	0	0	1	0	0	1	0	10
kml	2	0	0	0	0	1	0	0	0	0	0	4	0	0	79	0	4	0	0	0	0	0	0	0	1	0	0	0	3	0	2	1	0	0	3	0
kmz	0	0	2	24	12	0	0	0	4	6	0	0	0	12	0	18	0	2	3	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	8
log	2	2	0	0	0	3	4	0	0	0	0	21	3	0	0	0	34	0	0	0	0	0	6	1	4	0	1	0	7	10	2	2	0	0	2	0
pdf	0	0	0	17	11	1	0	1	8	6	0	2	1	3	2	4	0	14	3	4	0	2	6	0	0	2	0	0	1	1	1	0	1	0	0	5
png	0	0	0	31	14	0	0	0	13	1	0	0	0	3	0	10	0	2	9	5	2	6	0	0	0	1	0	0	0	0	0	0	0	0	0	0
pps	0	0	3	21	9	0	0	1	8	6	1	0	0	7	0	3	0	2	4	4	17	7	0	1	1	0	0	0	0	0	0	0	0	3	0	3
ppt	0	0	7	14	11	0	0	1	4	6	0	2	0	4	0	12	0	0	4	5	16	3	0	0	0	3	0	1	0	0	0	0	3	3	0	1
pptx	0	0	1	29	14	0	0	0	5	4	0	0	0	7	0	3	0	5	6	8	0	14	0	0	1	1	0	0	0	0	0	0	2	0	0	3
ps	2	1	0	2	0	16	0	0	1	1	0	3	1	0	0	0	4	3	0	0	0	0	62	1	0	0	1	0	0	0	0	0	0	0	0	2
rtf	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	1	0	13	76	0	0	1	0	0	0	2	1	3	0	0	0
sql	2	1	0	0	1	1	8	0	0	0	5	4	5	0	1	0	4	0	0	0	0	0	0	0	56	0	1	0	5	3	0	3	0	0	1	0
swf	0	0	2	20	14	0	0	1	8	4	0	0	0	3	0	4	0	6	6	5	1	6	0	0	0	12	0	0	0	0	0	0	4	1	0	1
tex	3	0	0	0	0	0	0	0	0	0	1	12	6	0	3	0	2	0	0	0	0	0	0	1	3	0	33	0	4	1	6	6	13	0	7	0
text	2	0	6	3	7	2	2	4	2	1	6	2	3	2	0	4	1	1	1	2	1	2	2	0	2	2	0	7	1	5	12	5	7	3	0	1
tmp	3	0	9	0	0	5	1	0	0	0	4	8	1	0	3	0	14	0	1	0	1	0	4	1	3	1	2	0	29	5	3	1	1	1	0	0
troff	6	0	0	0	0	0	7	0	0	0	2	9	2	0	0	0	2	0	0	0	0	0	1	4	8	0	2	0	0	45	2	5	5	0	0	0
