Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
L-pdf	525312	201	360m26s	0.10147945	0.101618394
L-jpg	525312	208	361m06s	0.018818004	0.020575343
L-png	525312	205	360m16s	0.016354207	0.016949119
