True	csv	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	kml	log	png	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	unk	wp	xls	xml
csv	78	0	0	0	0	8	0	0	0	0	1	0	1	2	1	0	0	2	0	2	0	0	0	2	4	4	0	0	0
doc	0	72	1	0	0	1	0	1	0	1	0	0	0	0	1	3	5	0	0	0	0	0	0	0	0	1	0	7	0
docx	0	0	80	0	0	0	0	2	3	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	0	0
dwf	0	0	0	86	0	0	0	0	7	0	0	0	0	0	0	2	2	0	0	0	3	0	0	0	0	0	2	0	0
eps	0	0	0	0	63	1	0	0	0	0	2	0	3	0	0	0	0	22	2	0	0	0	1	1	0	0	0	0	3
f	6	1	0	0	0	30	3	0	0	2	1	9	0	5	0	0	0	3	1	13	0	0	2	1	11	14	2	0	1
fits	0	1	0	3	0	3	71	1	2	0	0	0	0	0	2	0	2	0	0	0	1	0	1	0	0	14	0	1	0
gif	0	0	0	2	0	0	2	77	1	0	0	0	0	0	3	4	5	0	0	0	6	0	0	0	0	1	1	0	0
gz	0	0	2	4	0	0	0	0	63	0	0	0	0	0	2	7	25	0	0	0	2	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	3	0	0	0	63	0	7	0	0	0	0	0	1	0	4	0	0	4	0	1	7	3	0	0
html	0	0	0	0	0	4	0	0	0	0	63	2	8	4	0	0	0	2	1	0	0	1	1	0	0	4	0	0	13
java	0	0	0	0	0	5	0	0	0	0	2	79	4	3	0	0	0	1	0	3	0	1	0	2	1	3	0	0	0
kml	1	0	0	0	2	0	0	0	0	0	2	3	79	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	5
log	1	1	0	0	3	2	0	0	0	2	1	2	0	64	0	0	0	10	0	0	0	9	0	3	2	3	0	0	2
png	0	0	0	1	0	0	0	6	2	0	0	0	0	0	51	3	14	0	0	0	3	0	0	0	0	0	10	0	0
ppt	0	28	0	1	0	0	0	1	6	0	0	0	0	0	6	10	26	0	0	1	5	0	1	0	0	0	3	5	0
pptx	0	1	15	0	0	0	0	1	21	0	0	0	0	0	5	12	35	0	1	0	6	0	1	0	0	0	2	1	0
ps	0	1	0	0	18	1	0	0	0	0	1	1	5	5	0	0	0	65	2	0	0	0	1	2	0	0	0	0	1
rtf	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	10	88	0	0	1	1	0	0	0	1	0	0
sql	9	4	0	0	3	3	0	0	0	3	0	8	1	10	0	0	0	4	0	38	0	3	4	4	4	1	0	0	0
swf	0	0	0	3	0	0	1	3	9	0	0	0	0	0	11	5	24	0	0	0	36	0	0	0	1	0	6	0	0
tex	0	3	0	0	0	2	0	0	0	0	2	5	2	3	0	0	0	3	2	0	0	74	0	0	0	0	0	0	3
text	1	33	0	0	2	13	4	1	1	3	1	0	0	0	1	2	4	3	0	3	2	0	21	2	3	7	2	1	0
tmp	4	0	7	0	0	3	0	0	0	1	2	0	3	7	0	1	0	3	0	8	0	1	2	49	3	3	2	0	1
troff	5	0	0	0	0	3	0	0	0	3	0	0	2	2	0	0	0	7	0	7	0	1	0	1	45	10	1	0	7
unk	2	10	0	0	1	5	0	0	0	1	6	8	0	2	3	0	7	9	3	5	1	0	1	1	0	29	3	1	1
wp	1	0	0	0	0	0	0	2	0	1	0	1	0	0	11	3	1	0	1	1	1	0	0	0	0	5	69	0	0
xls	0	39	0	0	0	0	1	0	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	61	0
xml	0	0	0	0	0	1	0	0	0	0	7	2	15	8	0	0	0	2	0	2	0	1	0	0	0	2	0	0	58
