True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	66	0	0	0	0	0	8	0	0	0	0	1	0	0	0	0	4	0	0	0	0	6	0	2	0	2	1	0	7	1	0	0	0	0
dbase3	0	102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	78	0	0	0	1	0	0	0	1	0	1	3	0	0	0	0	5	2	4	1	1	1	1	1	0	0	0	0	0	2	0	0
docx	0	0	0	85	0	0	0	0	2	6	0	0	0	0	0	2	0	0	0	0	5	0	0	0	2	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	75	0	0	0	1	4	0	0	0	3	0	2	0	0	1	1	1	0	0	0	4	0	2	0	0	0	0	0	0	0
eps	0	0	0	0	0	60	0	0	0	0	0	0	0	1	1	0	8	1	0	1	0	16	1	1	0	0	3	1	0	5	0	0	0	3
f	1	0	0	0	0	0	26	7	0	0	1	2	13	0	0	0	6	0	0	0	0	3	1	3	0	0	3	1	15	8	12	1	0	0
fits	0	0	0	1	1	1	1	64	5	0	1	0	0	2	0	0	0	2	0	0	1	2	0	0	1	0	6	0	0	13	1	1	0	0
gif	0	0	0	1	5	0	0	2	69	1	0	0	0	5	0	1	0	1	2	1	0	0	0	0	6	0	2	0	0	0	0	1	0	0
gz	0	0	0	0	1	0	0	0	1	57	0	0	0	2	0	6	0	6	10	0	13	0	0	0	6	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	10	0	0	0	59	0	12	0	0	0	1	0	0	0	0	0	1	8	0	0	0	0	2	2	5	1	0	0
html	5	0	0	0	0	0	2	1	0	0	0	59	1	0	0	0	6	0	0	0	0	3	0	3	0	0	0	2	5	2	2	0	0	11
java	0	0	0	0	0	0	1	0	0	0	0	0	67	0	0	0	14	0	0	0	0	3	1	1	0	2	0	1	1	3	1	0	0	1
jpg	0	0	0	0	1	0	0	0	2	2	0	1	0	69	0	0	0	2	1	1	4	0	0	0	6	0	1	0	0	0	0	4	0	0
kml	1	0	0	0	0	0	0	0	0	0	0	4	4	0	49	0	5	0	0	0	0	1	0	0	0	2	1	0	1	0	0	0	0	24
kmz	0	0	0	0	9	0	0	0	0	11	0	0	0	0	0	60	0	0	5	0	7	0	0	0	4	0	1	0	0	0	0	0	0	0
log	2	0	2	0	0	0	1	0	0	0	0	0	3	0	0	0	63	0	0	0	0	12	0	0	0	11	1	4	4	0	1	0	0	3
pdf	0	0	0	0	3	1	0	0	5	3	0	1	0	0	0	5	4	49	4	0	5	9	0	0	11	0	0	0	1	0	0	0	0	0
pps	0	1	22	3	4	0	0	1	0	19	0	0	0	3	0	3	0	1	9	3	10	0	0	0	11	0	1	0	0	0	0	5	3	0
ppt	0	0	23	0	2	0	0	0	4	15	0	0	0	4	0	0	0	1	13	6	8	0	0	0	14	0	1	0	0	0	0	7	1	0
pptx	0	0	0	12	4	0	0	0	3	18	0	0	0	1	0	1	0	5	11	4	22	0	0	0	23	0	0	0	0	0	0	0	1	1
ps	0	0	0	0	0	15	0	0	0	2	0	1	1	0	0	0	6	2	0	0	0	58	0	0	0	2	1	4	0	3	0	0	0	0
rtf	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	7	82	0	0	0	0	0	0	1	0	0	2	0
sql	5	0	0	4	0	0	7	0	0	0	0	3	1	0	0	0	8	0	0	0	0	4	0	43	0	4	1	2	8	6	4	0	0	0
swf	0	0	0	0	4	1	0	0	6	11	0	0	0	4	0	6	0	2	11	3	13	0	0	0	36	0	0	0	0	0	0	3	2	0
tex	1	0	0	0	0	0	0	0	0	0	0	1	2	0	1	0	11	0	0	0	0	3	0	3	0	79	0	1	0	3	0	0	0	2
text	1	0	19	0	0	0	2	4	3	1	0	4	3	3	0	0	1	0	0	0	0	3	2	1	6	2	32	1	6	3	8	2	0	0
tmp	0	0	1	7	0	0	4	1	6	0	1	5	1	0	0	0	7	0	1	0	0	6	0	7	0	0	7	36	1	11	0	1	0	1
troff	0	0	0	0	0	1	7	0	0	0	0	5	3	0	0	0	0	0	0	0	0	2	1	0	0	0	4	2	65	7	1	3	0	0
txt	6	0	0	0	0	0	6	6	0	0	4	0	8	0	0	0	3	0	0	0	0	2	0	7	0	1	3	2	6	25	9	2	0	0
unk	0	0	0	0	0	0	4	11	0	0	2	0	16	1	0	0	3	0	1	0	1	7	1	3	0	2	4	4	3	5	30	5	2	1
wp	0	0	2	0	12	0	0	5	2	0	1	0	0	4	0	0	1	0	1	0	0	0	1	0	3	0	5	0	0	3	0	54	0	0
xls	0	0	63	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	2	38	0
xml	0	0	0	0	0	0	1	0	0	0	0	3	0	0	6	0	7	0	0	0	0	4	0	1	0	2	1	0	2	0	0	0	0	64
