True	csv	docx	java	pps	ppt	ps	tex	troff	unk	xls
csv	83	0	3	0	0	0	3	4	5	0
docx	0	30	0	55	8	0	0	0	1	8
java	0	0	94	0	0	0	4	2	0	0
pps	0	9	1	49	23	0	0	0	4	10
ppt	0	13	0	48	29	0	1	0	2	4
ps	2	0	0	1	0	71	14	5	3	0
tex	3	0	7	0	0	0	84	2	9	0
troff	8	0	4	0	0	2	12	63	9	0
unk	6	0	22	5	2	0	11	19	29	5
xls	0	0	0	2	13	0	1	2	6	85
