True	csv	dbase3	doc	docx	dwf	eps	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	64	0	0	0	0	2	0	0	0	0	6	2	0	0	0	3	0	0	0	0	0	7	0	10	0	3	0	4	3	2	0	0	0	0
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	21	1	0	0	0	0	1	0	3	0	4	0	0	0	0	0	3	3	2	0	2	0	0	0	0	0	2	0	1	0	51	0
docx	0	0	0	83	0	0	0	1	5	0	0	0	0	0	1	0	1	1	2	0	4	0	0	0	3	0	0	0	0	0	0	0	0	0
dwf	0	0	0	0	58	0	0	2	6	0	0	0	2	0	8	0	1	4	3	0	3	0	0	0	7	0	2	0	0	0	0	0	0	0
eps	1	0	0	0	0	47	2	0	0	0	4	1	0	1	0	4	5	0	1	0	0	17	3	0	0	0	5	0	0	2	2	0	0	3
fits	0	0	0	0	1	0	64	5	1	0	0	0	1	0	0	0	3	1	2	0	1	0	0	0	7	0	0	3	0	3	3	0	0	0
gif	0	0	0	3	1	0	0	69	1	0	0	0	3	0	2	0	3	3	0	1	2	0	0	0	7	0	0	0	0	0	0	0	0	0
gz	0	0	0	0	0	0	0	0	55	0	0	0	0	0	16	0	6	0	13	3	3	0	0	0	7	0	0	0	0	0	0	0	0	0
hlp	0	0	0	0	0	0	0	0	0	65	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	3	4	16	1	3	0	0	0
html	4	0	0	0	0	0	0	0	0	0	77	1	0	1	0	3	1	0	0	0	0	0	1	0	0	0	0	0	3	0	1	0	0	6
java	0	0	0	0	0	0	0	0	0	0	4	66	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	4	3	2	7	0	0	5
jpg	0	0	0	0	0	0	0	0	0	0	2	0	66	0	2	1	5	1	7	3	5	0	0	0	11	0	0	0	0	0	0	2	0	0
kml	0	0	0	0	0	0	0	0	0	0	14	2	0	65	0	4	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	15
kmz	0	0	0	0	2	0	0	0	11	0	0	0	1	0	70	0	0	3	5	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0
log	0	0	1	0	0	0	3	0	0	0	2	7	0	2	0	50	3	0	0	0	0	6	0	0	0	11	0	2	4	0	1	0	0	7
pdf	0	0	0	0	3	0	0	2	6	0	0	0	6	0	3	1	58	4	6	0	2	5	0	0	6	0	0	0	0	0	0	0	0	0
png	1	0	0	0	2	0	0	2	3	0	0	0	1	0	3	0	3	72	4	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0
pps	0	0	6	0	0	0	0	0	14	0	0	0	4	0	8	0	9	4	16	2	7	0	1	0	15	0	2	0	0	0	0	0	7	0
ppt	0	0	6	0	2	0	0	1	10	0	0	0	3	0	5	0	6	7	22	4	3	0	0	0	6	0	0	0	0	0	0	2	22	0
pptx	0	0	2	8	2	0	1	7	18	0	0	0	2	0	5	0	4	4	13	1	14	0	0	0	16	0	0	0	0	0	0	0	0	0
ps	0	0	0	0	0	10	0	0	0	0	5	7	0	0	2	3	3	0	0	0	0	60	5	0	0	2	1	0	1	2	1	0	0	0
rtf	2	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	0	0	5	85	0	0	3	0	0	0	0	1	0	0	0
sql	8	0	0	0	0	0	0	0	0	2	6	4	0	0	0	6	0	0	0	0	0	1	0	24	0	5	8	4	26	3	5	1	0	0
swf	0	0	2	0	8	1	0	1	9	0	0	0	4	0	9	0	1	11	11	0	6	0	0	0	39	0	0	0	0	0	0	0	0	0
tex	1	0	0	0	0	0	0	0	0	0	8	2	0	3	0	4	0	0	0	0	0	1	3	1	0	71	2	0	5	1	2	0	0	4
text	1	0	9	1	0	0	8	0	0	1	2	0	0	0	0	2	1	2	4	2	1	2	2	4	3	1	17	3	6	9	3	2	13	0
tmp	0	0	3	0	0	0	0	0	0	0	2	2	0	0	0	10	5	1	0	0	0	0	3	3	0	0	0	59	4	0	0	0	0	3
troff	1	0	0	0	0	0	0	0	0	0	4	4	0	0	0	7	0	0	0	0	0	3	0	0	0	0	2	5	61	10	3	0	0	0
txt	2	0	0	0	0	0	7	0	0	0	2	2	0	0	0	2	1	0	0	0	0	5	3	2	0	3	5	6	22	25	16	3	0	0
unk	0	0	1	0	0	2	3	0	0	0	7	10	0	1	0	4	1	0	2	0	1	1	0	2	0	1	3	6	6	10	33	3	4	0
wp	0	0	1	0	2	0	3	2	0	2	0	0	3	0	8	0	0	6	4	4	0	0	1	0	0	0	0	0	3	0	2	57	0	0
xls	0	0	6	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0	1	93	0
xml	0	0	0	0	0	0	0	0	0	0	8	2	0	7	0	1	3	0	0	0	0	1	0	1	0	1	0	0	8	0	0	0	0	64
