True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml
csv	73	0	0	0	0	0	2	1	2	0	0	5	0	0	1	0	1	0	0	0	0	0	0	3	0	0	4	1	0	2	2	3	0	0	0
dbase3	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	0	0	19	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	6	4	0	1	0	1	0	0	0	0	0	0	0	65	0
docx	0	0	0	73	0	0	0	0	1	7	0	0	0	0	0	1	0	0	1	0	0	12	0	0	0	6	0	0	0	0	0	0	0	0	0
dwf	0	0	0	1	73	0	0	0	0	1	0	0	0	0	0	3	0	0	0	1	0	4	0	0	0	8	0	0	0	0	0	0	0	0	0
eps	0	0	0	0	0	76	0	1	0	0	0	0	0	1	1	0	4	2	0	0	0	0	8	1	0	0	1	2	0	2	0	0	0	0	2
f	8	0	0	0	0	1	22	4	0	0	6	2	10	2	3	0	4	0	0	0	0	0	0	0	4	0	1	0	1	7	14	18	0	0	0
fits	0	0	3	0	2	0	0	59	3	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	4	0	2	0	0	6	9	0	1	0
gif	0	0	6	1	1	0	0	0	61	0	0	0	0	0	0	0	0	1	2	3	0	7	0	0	0	2	0	2	2	0	0	1	1	0	0
gz	0	0	0	0	3	0	0	0	0	54	0	0	0	0	0	7	0	1	0	3	4	17	0	0	0	10	0	0	0	0	0	0	0	0	0
hlp	0	0	1	0	0	0	1	0	0	0	70	0	12	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	2	5	6	4	0	0	0
html	2	0	0	0	0	5	0	1	0	0	0	66	5	0	1	0	5	1	0	0	0	0	1	0	1	0	2	0	3	1	0	0	0	0	6
java	0	0	0	0	0	0	2	0	0	0	4	1	72	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	2	1	4	0	0	1
jpg	0	0	0	0	3	0	0	1	3	3	0	0	0	69	0	0	0	0	1	5	2	7	0	0	0	1	0	1	0	0	0	2	4	0	0
kml	1	0	0	0	0	2	2	0	0	0	0	1	2	0	73	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	13
kmz	0	0	0	0	13	0	0	0	0	5	0	0	0	0	0	63	0	0	5	4	2	8	0	0	0	1	0	2	0	0	0	0	1	0	0
log	1	0	0	0	0	3	0	0	0	0	0	4	5	0	1	0	60	1	0	0	0	0	1	0	1	0	5	1	4	1	2	1	0	0	3
pdf	0	0	0	0	7	3	0	3	5	5	0	0	1	0	0	5	1	50	1	4	0	12	6	1	0	6	0	0	0	0	0	0	0	0	0
png	0	0	0	0	5	0	0	0	2	1	0	0	0	0	0	5	0	0	51	1	2	10	0	0	0	9	0	0	0	0	0	0	13	0	0
pps	0	0	4	0	0	0	0	0	6	15	0	0	0	3	0	6	0	1	1	20	6	11	0	2	0	13	0	0	1	0	0	1	6	4	0
ppt	0	0	6	0	2	0	0	1	1	13	0	0	0	0	0	6	0	1	0	8	5	21	0	0	0	4	0	0	0	0	0	1	3	23	0
pptx	0	0	3	7	3	0	0	0	2	13	0	0	0	0	0	6	0	1	1	7	5	32	0	0	0	13	0	0	0	0	0	0	1	1	0
ps	0	0	0	0	0	29	0	1	0	0	0	2	3	0	0	0	6	2	0	0	0	0	49	6	0	0	0	0	1	0	2	1	0	0	0
rtf	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	92	0	0	4	0	0	0	0	0	0	0	1
sql	9	0	2	1	0	3	10	0	0	0	0	6	6	0	0	0	6	0	0	0	0	0	0	0	36	0	0	4	3	6	2	5	0	0	0
swf	0	0	2	0	1	0	0	2	2	5	0	0	0	1	0	4	0	0	1	4	10	15	0	0	0	47	0	0	0	0	0	1	1	0	0
tex	5	0	0	0	0	3	0	0	0	0	0	3	1	0	0	0	3	0	0	0	0	0	0	2	2	0	83	3	0	0	0	1	0	0	0
text	2	0	8	0	0	4	7	5	1	2	0	1	1	2	0	2	1	1	0	1	3	2	0	3	3	1	1	12	1	4	7	9	0	10	0
tmp	3	0	0	2	0	3	1	0	0	0	2	3	1	0	0	0	7	2	0	0	2	0	1	1	9	0	0	2	51	5	5	0	0	0	3
troff	8	0	0	0	0	2	5	0	0	0	0	3	4	0	0	0	4	0	0	0	0	0	0	0	3	0	0	2	2	65	4	2	1	0	0
txt	9	0	1	0	0	7	12	3	0	0	3	0	2	0	0	0	2	0	0	0	0	0	0	4	3	0	0	7	5	10	29	6	0	0	0
unk	5	0	0	0	0	5	6	1	1	2	3	2	9	0	0	0	1	0	0	3	0	0	1	0	3	0	0	5	1	8	8	36	0	4	1
wp	0	0	2	0	1	0	2	1	1	0	4	2	0	2	0	2	0	0	1	2	0	3	0	1	1	1	0	0	2	3	2	1	69	1	0
xls	0	0	6	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	3	1	0	0	0	0	2	0	0	0	1	0	0	3	85	0
xml	0	0	0	0	0	1	0	0	0	0	0	13	6	0	8	0	1	0	0	0	0	0	0	1	2	0	1	0	0	1	0	1	0	0	66
