Name	Parameters	Blocks	Epochs	Time	Training accuracy	Validation accuracy
CCL	328976	all	169	10m00s	0.97	0.869
CCLL	362000	all	156	10m03s	0.972	0.891
CMCML	295696	all	173	10m02s	0.969	0.842
CMCMLL	321040	all	133	10m01s	0.951	0.91
CLL	288112	all	109	10m03s	0.808	0.787
CML	262512	all	141	10m01s	0.979	0.883
CLD	1246468	all	86	10m04s	0.986	0.889
CD	1063236	all	120	10m00s	0.974	0.862
CM	32772	all	89	10m00s	0.98	0.904
CCM	32808	all	89	10m00s	0.978	0.898
D	524292	all	291	10m00s	0.999	0.825
LD	37124	all	10	10m29s	0.67	0.681
CL	32916	all	156	10m02s	0.97	0.878
