True	dbase3	docx	gif	gz	hlp	java	log	png	rtf	sql	swf	wp	xls
dbase3	95	0	0	0	0	0	0	0	0	0	0	0	0
docx	0	76	3	17	0	0	0	1	0	0	4	1	0
gif	0	3	71	0	0	0	0	10	0	1	4	5	2
gz	0	0	3	88	0	0	0	2	0	0	10	0	0
hlp	0	0	0	0	73	16	3	0	0	0	0	7	0
java	0	0	0	0	0	85	11	0	2	4	0	0	0
log	0	1	0	0	2	7	88	0	0	4	0	0	0
png	0	0	7	13	0	0	0	48	0	0	20	11	0
rtf	0	0	0	0	1	3	7	0	83	1	0	3	0
sql	0	2	0	0	10	14	10	0	0	56	0	3	0
swf	0	0	4	39	0	0	0	8	0	0	44	5	0
wp	0	0	0	1	0	5	1	6	1	2	3	83	2
xls	0	1	2	0	0	0	0	0	0	0	1	2	99
