Name	Parameters	Epochs	Time	Training accuracy	Validation accuracy
C64_64_8PR_C64_16_8PR_L64_D31_cat	1182047	5	2m26s	0.213	0.272
C64_64_8PR_C64_16_8PR_L128_D31_cat	1249823	4	2m00s	0.231	0.235
