True	csv	doc	eps	f	gif	jpg	kmz	pdf	pps	ps	sql	tex	text	tmp	troff	txt	wp	xls
csv	75	0	1	0	0	0	0	0	0	2	0	14	0	2	0	4	0	0
doc	0	23	0	0	0	0	0	0	8	2	2	0	0	3	1	0	4	60
eps	1	0	80	2	1	0	0	0	1	11	1	3	0	1	1	0	0	0
f	13	0	0	47	0	0	0	0	0	1	6	6	0	5	8	14	3	0
gif	0	2	0	0	77	3	1	6	4	0	0	0	4	5	0	0	1	0
jpg	0	3	0	0	4	54	1	8	16	0	0	0	0	1	0	0	1	5
kmz	0	0	0	0	1	0	73	3	25	0	0	0	4	0	0	0	0	0
pdf	0	0	4	0	6	1	8	46	24	8	0	0	0	2	0	0	1	0
pps	0	3	0	0	2	1	6	10	46	0	0	0	1	2	0	1	4	25
ps	2	0	25	1	0	0	0	3	0	61	1	4	0	2	0	2	0	0
sql	10	0	5	22	0	0	0	0	0	2	40	10	0	10	2	3	0	0
tex	1	0	2	4	0	0	0	0	0	1	0	70	0	3	2	4	4	0
text	0	13	1	22	1	1	0	1	5	7	5	1	15	3	4	7	5	10
tmp	0	0	1	12	0	0	0	1	0	8	11	1	2	57	5	2	0	0
troff	2	0	1	14	0	0	0	0	0	8	15	0	4	2	41	7	3	0
txt	3	0	12	38	0	0	0	0	0	0	7	2	6	2	5	19	3	0
wp	0	2	0	0	0	3	5	2	12	0	1	0	2	1	1	0	69	1
xls	0	2	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	94
