True	csv	doc	dwf	eps	f	fits	gif	gz	hlp	html	java	kmz	log	pdf	png	pps	ppt	pptx	rtf	sql	swf	tex	tmp	troff	txt	unk	wp	xls	xml
csv	69	0	0	7	1	0	0	0	0	1	2	0	3	0	0	0	0	0	0	6	0	7	0	0	2	0	0	0	0
doc	0	18	0	1	1	1	1	1	0	0	0	0	0	0	2	2	4	3	0	1	1	0	2	0	0	1	0	57	0
dwf	0	0	79	0	0	1	1	0	0	0	0	1	0	5	1	1	0	0	0	0	12	0	0	0	0	0	0	0	0
eps	0	0	0	72	2	0	0	0	0	0	0	1	6	5	0	0	0	0	3	2	0	2	1	1	3	0	0	0	1
f	2	0	0	1	33	1	0	0	7	2	13	0	2	0	0	0	0	0	0	10	0	0	1	9	8	6	0	0	0
fits	0	0	1	1	7	56	4	4	1	0	0	0	0	3	1	0	2	0	0	2	1	0	1	1	14	4	0	1	0
gif	0	0	3	0	0	0	68	1	0	0	0	4	0	6	1	1	1	0	0	0	10	0	0	0	0	2	2	1	0
gz	0	0	5	0	0	0	0	50	0	0	0	22	0	6	0	2	1	4	0	0	8	0	0	0	0	0	0	0	0
hlp	0	0	0	1	17	0	0	0	68	0	5	0	0	0	0	0	0	0	0	2	0	0	0	2	4	4	0	0	0
html	4	0	0	2	7	0	0	0	0	57	0	0	2	0	0	0	0	0	0	4	0	4	2	4	1	4	0	0	9
java	1	0	0	1	4	0	0	0	5	0	73	0	1	0	0	0	0	0	1	4	0	2	1	2	0	4	0	0	0
kmz	0	0	13	0	0	0	0	10	0	0	0	68	0	0	5	4	2	0	0	0	2	0	0	0	0	0	0	0	0
log	0	0	0	5	5	0	0	0	1	1	8	0	51	1	0	0	0	0	0	1	0	11	3	2	4	0	0	0	7
pdf	2	1	7	3	0	0	1	5	0	1	0	4	6	52	2	3	1	3	1	0	8	0	4	0	0	0	0	0	1
png	0	0	6	0	0	0	10	3	0	0	0	8	0	3	51	3	0	2	0	0	12	0	0	0	0	0	0	1	0
pps	0	9	2	0	0	0	0	18	0	0	0	9	0	5	2	4	7	7	0	1	12	0	0	0	0	3	0	22	0
ppt	0	5	0	0	0	4	1	15	0	0	0	6	0	6	4	7	10	2	0	0	10	0	1	0	0	0	2	28	0
pptx	0	0	5	0	0	1	4	28	0	0	0	16	0	5	5	4	4	6	1	1	16	0	2	0	0	0	0	1	0
rtf	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	86	0	0	2	0	0	1	0	0	1	0
sql	2	0	0	3	10	0	0	0	4	1	5	0	0	0	0	0	0	0	0	44	0	4	6	7	11	1	0	0	0
swf	0	0	14	0	0	0	1	9	0	0	0	6	0	7	3	9	0	6	0	1	42	0	0	0	0	1	0	1	0
tex	1	0	0	1	5	0	0	0	3	0	0	0	4	0	0	0	0	0	0	4	0	70	0	0	1	1	0	0	9
tmp	1	0	0	0	9	0	0	0	5	4	0	0	5	0	0	0	0	0	2	8	0	1	45	4	10	1	0	1	2
troff	7	0	0	0	16	0	0	0	0	2	3	0	3	0	0	0	0	0	0	4	0	2	0	60	8	1	1	0	0
txt	5	0	0	9	21	1	0	0	7	1	4	0	4	0	0	0	0	0	1	8	0	0	0	6	27	8	0	0	0
unk	1	6	0	6	12	4	0	1	6	3	7	1	5	1	0	0	0	0	0	6	0	0	1	8	6	25	0	3	0
wp	1	4	2	0	4	3	1	0	1	0	1	1	1	0	9	0	2	2	0	2	1	0	3	1	1	2	53	2	0
xls	0	10	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	0	1	0	79	0
xml	0	0	0	1	0	0	0	0	0	3	2	0	9	0	0	0	0	0	4	0	0	6	1	0	0	0	0	0	76
