True	csv	dbase3	doc	docx	eps	fits	gif	jpg	kml	kmz	log	pdf	pps	pptx	rtf	sql	swf	text	tmp	unk	xml
csv	81	0	0	0	2	1	0	0	0	0	5	1	0	0	0	7	0	0	2	0	1
dbase3	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
doc	2	0	65	0	0	2	0	2	0	2	0	0	12	1	1	0	1	6	1	2	1
docx	0	0	0	86	0	0	1	0	0	8	0	0	1	5	0	0	5	0	0	0	0
eps	3	0	0	0	65	3	1	0	2	0	12	0	0	0	2	2	0	3	1	0	5
fits	0	0	2	0	0	75	2	2	0	0	0	1	2	1	0	0	7	3	1	7	0
gif	0	0	0	0	0	0	73	4	0	0	0	0	7	3	0	0	9	3	0	0	0
jpg	0	0	1	0	1	0	2	75	0	1	1	1	5	0	0	0	11	0	0	2	0
kml	2	0	0	0	5	0	0	0	67	0	2	0	0	0	1	1	0	0	0	0	18
kmz	0	0	0	0	0	0	0	0	0	85	0	0	7	3	0	0	5	0	0	0	0
log	5	0	2	0	1	2	0	0	6	0	58	4	0	0	0	1	0	0	7	2	7
pdf	2	0	0	0	5	2	4	1	0	8	1	51	6	5	1	0	14	2	0	1	0
pps	1	0	7	0	0	2	3	0	0	17	0	3	26	10	0	0	24	1	1	2	0
pptx	0	0	2	8	0	0	5	4	0	23	0	1	13	18	0	0	28	0	0	0	0
rtf	1	0	1	0	7	0	0	0	0	0	0	0	1	0	90	1	0	0	2	0	0
sql	9	0	2	0	5	2	0	0	0	0	10	0	0	0	2	42	0	2	10	18	1
swf	0	0	1	0	3	1	0	4	0	11	0	1	10	6	0	0	58	0	0	2	0
text	0	0	15	1	6	5	0	2	4	2	0	0	3	2	5	8	6	26	6	8	0
tmp	0	0	1	0	6	2	0	0	0	0	9	1	1	0	0	9	0	4	58	7	3
unk	4	0	4	0	3	12	0	0	2	1	7	1	2	0	4	4	0	3	7	44	2
xml	0	0	0	0	3	0	0	0	16	0	10	0	0	0	3	0	0	1	0	1	66
