True	csv	dbase3	doc	docx	dwf	eps	f	fits	gif	gz	hlp	html	java	jpg	kml	kmz	log	pdf	png	pps	ppt	pptx	ps	rtf	sql	swf	tex	text	tmp	troff	txt	unk	wp	xls	xml	zip
csv	67	0	0	0	0	0	3	0	0	0	0	9	0	0	0	0	7	0	0	0	0	0	0	0	3	0	0	2	0	2	0	0	0	0	0	0
dbase3	0	95	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0
doc	0	0	39	0	0	0	1	0	0	3	1	6	0	3	0	1	2	0	0	4	4	0	0	0	1	1	0	2	0	0	0	1	7	20	0	2
docx	0	0	5	17	2	0	0	0	0	9	0	0	0	18	0	15	0	1	8	2	1	4	0	0	0	6	0	0	0	0	0	0	6	0	0	2
dwf	0	0	0	10	4	0	0	0	2	7	0	0	0	27	0	18	0	4	8	0	1	7	0	0	1	2	0	0	0	0	0	0	0	1	0	6
eps	2	0	0	0	0	38	0	1	0	0	0	7	1	0	5	0	9	8	0	0	0	0	12	0	2	0	0	0	2	1	3	1	1	0	3	0
f	4	3	0	0	0	2	25	1	0	0	6	11	12	0	1	0	7	0	0	0	0	0	0	0	7	0	0	0	5	6	2	1	7	0	1	0
fits	0	4	0	2	0	0	0	56	2	1	1	0	0	5	0	0	0	4	1	1	2	1	0	0	0	2	0	2	0	0	1	1	2	5	0	2
gif	0	0	1	3	4	1	0	0	29	8	0	0	0	14	0	13	0	3	8	0	2	3	0	0	0	9	0	0	0	0	0	0	0	0	0	1
gz	0	0	0	7	3	0	0	0	2	19	0	0	0	31	0	19	0	3	3	0	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	7
hlp	0	0	0	0	0	0	2	0	0	0	71	5	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	6	9	0	0	0
html	1	0	0	0	0	0	0	0	0	0	0	44	1	0	7	0	7	3	0	0	0	0	0	0	4	0	0	2	1	0	0	3	9	0	19	0
java	0	0	0	0	0	0	3	0	0	0	5	13	54	0	0	0	5	0	0	0	0	0	0	0	10	0	0	0	0	2	0	2	2	0	5	0
jpg	0	0	0	8	4	0	0	0	1	11	0	0	0	31	0	9	1	2	6	0	3	3	0	0	0	3	0	0	0	0	0	0	3	1	0	7
kml	2	0	0	0	0	0	0	0	0	0	0	4	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	21	0
kmz	0	0	0	18	1	0	0	0	4	8	0	0	0	21	0	36	0	1	5	0	1	7	0	0	0	2	0	0	0	0	0	0	0	0	0	1
log	1	0	0	0	0	3	0	0	0	0	0	18	0	0	9	0	42	1	0	0	0	0	3	1	7	0	0	0	3	2	1	1	1	0	10	0
pdf	1	0	1	3	2	4	0	0	6	3	0	4	0	21	2	6	1	27	5	0	1	4	2	1	0	3	0	0	0	0	1	0	1	0	3	2
png	0	0	0	9	5	0	0	0	12	3	0	0	0	21	0	17	0	2	12	1	0	8	0	0	0	3	0	1	0	0	0	0	0	0	0	6
pps	0	0	7	5	4	1	0	1	3	5	1	0	0	18	0	17	0	1	4	4	3	5	0	0	0	2	0	1	0	0	0	0	4	4	0	5
ppt	0	0	9	4	3	0	0	0	5	4	0	0	0	20	0	7	0	3	6	4	3	2	0	0	1	6	0	0	2	0	0	0	9	13	0	0
pptx	0	0	0	6	8	0	0	0	1	6	0	0	0	27	0	23	0	3	4	2	0	11	0	0	0	4	0	0	0	0	0	0	0	0	0	2
ps	6	0	0	0	0	20	0	0	0	1	0	2	3	2	2	0	11	11	0	0	0	0	32	1	3	0	0	0	1	2	4	1	3	0	2	0
rtf	0	0	0	0	0	1	0	0	0	0	1	4	0	0	0	0	2	3	0	2	0	0	1	75	0	0	0	0	0	0	0	3	3	0	3	0
sql	0	0	3	0	0	1	2	0	0	0	3	14	9	0	0	0	3	0	0	0	0	0	0	0	61	0	0	0	0	2	0	1	2	0	4	0
swf	0	0	1	4	9	0	0	0	5	6	0	0	0	19	0	9	0	0	7	0	3	5	0	0	0	21	0	0	0	0	0	0	13	0	0	2
tex	4	0	0	0	0	0	0	0	0	0	4	18	2	0	6	0	6	0	0	0	0	0	0	1	7	0	11	0	8	0	2	2	8	0	22	0
text	1	0	8	1	0	3	2	2	2	4	5	3	0	5	0	4	3	3	2	1	1	4	1	0	0	3	0	4	4	1	9	5	11	3	0	3
tmp	2	2	6	0	0	1	3	0	0	0	1	5	1	0	3	0	12	0	0	0	0	0	0	4	9	0	0	0	32	0	5	0	2	0	10	0
troff	5	2	0	0	0	2	12	0	0	0	1	14	1	0	1	0	2	0	0	0	0	0	1	2	5	0	0	1	2	36	0	2	4	0	4	0
txt	5	2	0	0	0	1	2	2	0	0	7	11	0	0	3	0	4	2	0	0	0	0	0	0	7	0	0	0	9	7	15	2	18	0	3	0
unk	0	1	4	2	2	1	7	6	1	1	4	10	7	1	0	0	1	1	2	0	1	0	1	2	4	0	0	0	1	1	4	9	21	7	4	0
wp	0	0	3	0	0	1	1	2	0	0	1	6	0	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	0	4	66	5	0	0
xls	0	0	15	1	0	1	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	3	0	0	1	1	0	0	6	71	1	1
xml	0	0	0	0	0	0	0	0	0	0	1	24	6	0	7	0	8	0	0	0	0	0	0	0	2	0	0	0	1	1	2	4	3	0	49	0
zip	0	0	0	4	7	0	0	0	2	11	0	0	0	29	0	21	0	4	5	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	11
